104,「まる子凧上げをする」の巻「まる子七草がゆが食べたい」の巻,"January 5, 1992"
105,「まる子の貯金通帳」の巻「まる子編み物をする」の巻,"January 12, 1992"
106,「まる子湯たんぽを欲しがる」の巻,"January 19, 1992"
107,「学校のスケート教室」の巻,"January 26, 1992"
108,「町にへび屋がやって来た」の巻「まる子甘酒ばかり飲む」の巻,"February 2, 1992"
109,「みどりちゃんのバレンタインデー」の巻,"February 9, 1992"
110,「まる子星の砂が欲しい」の巻「まる子雀の餌づけをする」の巻,"February 16, 1992"
111,「みやこお姉ちゃんの赤ちゃん」の巻,"February 23, 1992"
112,「先生の家に遊びに行こう」の巻,"March 1, 1992"
113,「まる子ノラ犬に追いかけられる」の巻,"March 8, 1992"
114,「丸尾君と花輪君」の巻「我が家に白アリが」の巻,"March 15, 1992"
115,「まる子鯉の放流に参加する」の巻「花粉症騒動」の巻,"March 22, 1992"
116,「永沢君の家、火事になる」の巻,"March 29, 1992"
117,「永沢君ちの火事見舞い」の巻,"April 5, 1992"
118,「まる子不幸の手紙をもらう」の巻,"April 12, 1992"
119,「ノートはきれいに」の巻「ボンヤリまる子」の巻,"April 19, 1992"
120,「まる子お茶の味にうるさい」の巻,"April 26, 1992"
121,「まる子ふれあいの一人旅」の巻,"May 3, 1992"
122,「ツバメよ来い来い」の巻「クラスのお誕生日会」の巻,"May 10, 1992"
123,「動物園の写生大会」の巻,"May 17, 1992"
124,「しゃっくりが止まらない」の巻「お父さん北海道へ行く」の巻,"May 24, 1992"
125,「ヨッちゃんの彼女」の巻,"May 31, 1992"
126,「食用ガエルで大騒ぎ」の巻,"June 7, 1992"
127,「フタが開かない」の巻「まる子砂時計が欲しい」の巻,"June 14, 1992"
128,「まる子大パニック」の巻,"June 21, 1992"
129,「うれしいお中元」の巻,"June 28, 1992"
130,「商店街の七夕祭り」の巻,"July 5, 1992"
131,「まる子バーゲンの広告につられる」の巻,"July 12, 1992"
132,「明日から夏休み」の巻,"July 19, 1992"
133,「金魚すくいに情熱を」の巻,"July 26, 1992"
134,「夏休みの登校日」の巻,"Augus 2, 1992"
135,「まる子海水浴に行く」の巻,"Augus 9, 1992"
136,「蚊がうるさい」の巻,"Augus 16, 1992"
137,「巴川の花火大会」の巻,"Augus 23, 1992"
138,「まる子ゴキブリをこわがる」の巻,"Augus 30, 1992"
139,「まる子花輪クンに英会話を習う」の巻,"Sepember 6, 1992"
140,「まる子つりに行く」の巻,"Sepember 13, 1992"
